Antioquia;ANTIOQUIA;05
Atlántico;ATLANTICO;08
Bogotá;BOGOTÁ D.C.;11
Bolívar;BOLIVAR;13
Boyacá;BOYACA;15
Caldas;CALDAS;17
Caquetá;CAQUETA;18
Cauca;CAUCA;19
Cesar;CESAR;20
Córdoba;CORDOBA;23
Cundinamarca;CUNDINAMARCA;25
Chocó;CHOCO;27
Huila;HUILA;41
Guajira;GUAJIRA;44
Magdalena;MAGDALENA;47
Meta;META;50
Nariño;NARIÑO;52
Norte de Santander;NORTE DE SANTANDER;54
Quindio;QUINDIO;63
Risaralda;RISARALDA;66
Santander;SANTANDER;68
Sucre;SUCRE;70
Tolima;TOLIMA;73
Valle del Cauca;VALLE;76
Arauca;ARAUCA;81
Casanare;CASANARE;85
Putumayo;PUTUMAYO;86
Amazonas;AMAZONAS;91
Guainia;GUAINIA;94
Guaviare;GUAVIARE;95
Vaupés;VAUPÉS;97
Vichada;VICHADA;99
San Andrés;SAN ANDRES Y PROVIDENCIA;88
