Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
LETICIA;Leticia;91001;91001;Leticia
EL ENCANTO;El Encanto;91263;91263;El Encanto
LA CHORRERA;La Chorrera;91405;91405;La Chorrera
LA PEDRERA;La Pedrera;91407;91407;La Pedrera
LA VICTORIA;La Victoria;91430;91430;La Victoria
MIRITI - PARANÁ;Miriti - Paraná;91460;91460;Miriti - Paraná
PUERTO ALEGRÍA;Puerto Alegría;91530;91530;Puerto Alegría
PUERTO ARICA;Puerto Arica;91536;91536;Puerto Arica
PUERTO NARIÑO;Puerto Nariño;91540;91540;Puerto Nariño
PUERTO SANTANDER;Puerto Santander;91669;91669;Puerto Santander
TARAPACÁ;Tarapacá;91798;91798;Tarapacá
MEDELLÍN;Medellín;5001;5001;Medellín
ABEJORRAL;Abejorral;5002;5002;Abejorral
ABRIAQUÍ;Abriaquí;5004;5004;Abriaquí
ALEJANDRÍA;Alejandría;5021;5021;Alejandría
AMAGÁ;Amagá;5030;5030;Amagá
AMALFI;Amalfi;5031;5031;Amalfi
ANDES;Andes;5034;5034;Andes
ANGELÓPOLIS;Angelópolis;5036;5036;Angelópolis
ANGOSTURA;Angostura;5038;5038;Angostura
ANORÍ;Anorí;5040;5040;Anorí
SANTAFÉ DE ANTIOQUIA;Santafé De Antioquia;5042;5042;Santafé De Antioquia
ANZA;Anza;5044;5044;Anza
APARTADÓ;Apartadó;5045;5045;Apartadó
ARBOLETES;Arboletes;5051;5051;Arboletes
ARGELIA;Argelia;5055;5055;Argelia
ARMENIA;Armenia;5059;5059;Armenia
BARBOSA;Barbosa;5079;5079;Barbosa
BELMIRA;Belmira;5086;5086;Belmira
BELLO;Bello;5088;5088;Bello
BETANIA;Betania;5091;5091;Betania
BETULIA;Betulia;5093;5093;Betulia
CIUDAD BOLÍVAR;Ciudad Bolívar;5101;5101;Ciudad Bolívar
BRICEÑO;Briceño;5107;5107;Briceño
BURITICÁ;Buriticá;5113;5113;Buriticá
CÁCERES;Cáceres;5120;5120;Cáceres
CAICEDO;Caicedo;5125;5125;Caicedo
CALDAS;Caldas;5129;5129;Caldas
